PlateAppID,startBaseOutState,FinalBaseOutState,PA_EndValue_ExpectedRuns,PA_StartValue_ExpectedRuns,TotalRPrime,R,ChangeExpRuns,BatterID,Singles,Doubles,Triples,HR,BB,SO,FO
ABAM_AUBN_0503201901_PA14HOME04,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Ra_Woley0_AUBN_04,0,0,0,0,0,0,1
ABAM_AUBN_0503201901_PA14HOME05,A2,B2,0.268656716,0.117848411,0,0,0.150808306,St_Willia_AUBN_41,0,0,0,0,0,0,0
ABAM_AUBN_0503201901_PA15AWAY01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,TJ_Reeves_ABAM_22,0,0,0,0,0,0,1
ABAM_AUBN_0503201901_PA15AWAY02,A1,B1,0.663006757,0.317337461,0,0,0.345669295,Mo_Mccull_ABAM_08,1,0,0,0,0,0,0
ABAM_AUBN_0503201901_PA15AWAY03,B1,C2,0.341530055,0.663006757,0,0,-0.321476702,Ty_Gentry_ABAM_28,0,0,0,0,0,1,0
ABAM_AUBN_0503201901_PA16HOME01,A0,A1,0.317337461,0.60122373,0,1,-0.283886268,Wi_Hollan_AUBN_17,0,0,0,0,0,1,0
ABAM_AUBN_0503201901_PA16HOME02,A1,A2,0.117848411,0.317337461,0,1,-0.199489051,Ju_Ward00_AUBN_01,0,0,0,0,0,0,1
ABAM_AUBN_0503201901_PA16HOME03,A2,C2,0.341530055,0.117848411,0,1,0.223681644,Ry_Bliss0_AUBN_09,0,1,0,0,0,0,0
ABAM_AUBN_0503201901_PA16HOME04,C2,D2,0.379194631,0.341530055,1,1,1.037664576,Ed_Julien_AUBN_10,0,0,1,0,0,0,0
ABAM_AUBN_0503201901_PA17AWAY02,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Jo_Breaux_ABAM_04,0,0,0,0,0,1,0
ABAM_AUBN_0503201901_PA17AWAY03,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Ko_Robins_ABAM_24,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA01AWAY02,A0,B0,1.03432282,0.60122373,0,1,0.43309909,Br_Auerba_ABAM_07,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA01AWAY03,B0,B1,0.663006757,1.03432282,0,1,-0.371316063,TJ_Reeves_ABAM_22,0,0,0,0,0,1,0
ABAM_AUBN_0504201901_PA01AWAY04,B1,E1,1.186792453,0.663006757,0,1,0.523785696,Mo_Mccull_ABAM_08,0,0,0,0,1,0,0
ABAM_AUBN_0504201901_PA01AWAY05,E1,H1,1.747474747,1.186792453,0,1,0.560682295,Ty_Gentry_ABAM_28,0,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA01AWAY06,H1,H1,1.747474747,1.747474747,1,1,1,Dr_Willia_ABAM_55,0,0,0,0,1,0,0
ABAM_AUBN_0504201901_PA01AWAY07,H1,H2,0.847161572,1.747474747,0,0,-0.900313175,Jo_Breaux_ABAM_04,0,0,0,0,0,1,0
ABAM_AUBN_0504201901_PA02HOME01,A0,B0,1.03432282,0.60122373,0,0,0.43309909,Ju_Ward00_AUBN_01,0,0,0,0,1,0,0
ABAM_AUBN_0504201901_PA02HOME02,B0,A2,0.117848411,1.03432282,0,0,-0.916474409,Ry_Bliss0_AUBN_09,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA03AWAY01,A0,C0,1.339933993,0.60122373,0,1,0.738710264,Ty_Ras000_ABAM_05,0,1,0,0,0,0,0
ABAM_AUBN_0504201901_PA03AWAY02,C0,F0,1.552083333,1.339933993,0,1,0.21214934,Ko_Morris_ABAM_50,0,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA03AWAY03,F0,E0,1.830508475,1.552083333,1,1,1.278425141,Br_Auerba_ABAM_07,0,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA03AWAY04,E0,E1,1.186792453,1.830508475,0,0,-0.643716022,TJ_Reeves_ABAM_22,0,0,0,0,0,0,1
