PlateAppID,startBaseState,startBaseOutState,endBaseState,FinalBaseOutState,TotalRPrime,R
ABAM_AUBN_0503201901_PA01AWAY01,A,A0,B,B0,0,0
ABAM_AUBN_0503201901_PA01AWAY02,B,B0,A,A2,0,0
ABAM_AUBN_0503201901_PA01AWAY03,A,A2,A,A3,0,0
ABAM_AUBN_0503201901_PA02HOME01,A,A0,A,A1,0,2
ABAM_AUBN_0503201901_PA02HOME02,A,A1,B,B1,0,2
ABAM_AUBN_0503201901_PA02HOME03,B,B1,C,C1,0,2
ABAM_AUBN_0503201901_PA02HOME04,C,C1,E,E1,0,2
ABAM_AUBN_0503201901_PA02HOME05,E,E1,H,H1,0,2
ABAM_AUBN_0503201901_PA02HOME06,H,H1,E,E2,1,2
ABAM_AUBN_0503201901_PA02HOME07,E,E2,G,G2,1,1
ABAM_AUBN_0503201901_PA02HOME08,G,G2,G,G3,0,0
ABAM_AUBN_0503201901_PA03AWAY01,A,A0,B,B0,0,0
ABAM_AUBN_0503201901_PA03AWAY02,B,B0,B,B1,0,0
ABAM_AUBN_0503201901_PA03AWAY03,B,B1,E,E1,0,0
ABAM_AUBN_0503201901_PA03AWAY04,E,E1,E,E2,0,0
ABAM_AUBN_0503201901_PA03AWAY05,E,E2,H,H2,0,0
ABAM_AUBN_0503201901_PA03AWAY06,H,H2,H,H3,0,0
ABAM_AUBN_0503201901_PA04HOME02,A,A0,C,C0,0,0
ABAM_AUBN_0503201901_PA04HOME03,C,C0,C,C1,0,0
ABAM_AUBN_0503201901_PA04HOME04,C,C1,C,C2,0,0
ABAM_AUBN_0503201901_PA04HOME05,C,C2,C,C3,0,0
ABAM_AUBN_0503201901_PA05AWAY01,A,A0,B,B0,0,0
ABAM_AUBN_0503201901_PA05AWAY02,B,B0,B,B1,0,0
ABAM_AUBN_0503201901_PA05AWAY03,B,B1,A,A3,0,0
ABAM_AUBN_0503201901_PA06HOME01,A,A0,A,A1,0,0
ABAM_AUBN_0503201901_PA06HOME02,A,A1,A,A2,0,0
ABAM_AUBN_0503201901_PA06HOME03,A,A2,A,A3,0,0
ABAM_AUBN_0503201901_PA07AWAY01,A,A0,B,B0,0,1
ABAM_AUBN_0503201901_PA07AWAY02,B,B0,C,C0,0,1
ABAM_AUBN_0503201901_PA07AWAY03,C,C0,G,G0,0,1
ABAM_AUBN_0503201901_PA07AWAY04,G,G0,G,G1,0,1
ABAM_AUBN_0503201901_PA07AWAY05,G,G1,F,F1,1,1
ABAM_AUBN_0503201901_PA07AWAY06,F,F1,F,F2,0,0
ABAM_AUBN_0503201901_PA07AWAY07,F,F2,F,F3,0,0
ABAM_AUBN_0503201901_PA08HOME01,A,A0,B,B0,0,0
ABAM_AUBN_0503201901_PA08HOME02,B,B0,E,E0,0,0
ABAM_AUBN_0503201901_PA08HOME03,E,E0,E,E1,0,0
ABAM_AUBN_0503201901_PA08HOME04,E,E1,F,F2,0,0
ABAM_AUBN_0503201901_PA08HOME05,F,F2,F,F3,0,0
ABAM_AUBN_0503201901_PA09AWAY01,A,A0,A,A1,0,0
ABAM_AUBN_0503201901_PA09AWAY02,A,A1,A,A2,0,0
ABAM_AUBN_0503201901_PA09AWAY03,A,A2,A,A3,0,0
ABAM_AUBN_0503201901_PA10HOME02,A,A0,A,A1,0,2
ABAM_AUBN_0503201901_PA10HOME03,A,A1,B,B1,0,2
ABAM_AUBN_0503201901_PA10HOME04,B,B1,E,E1,0,2
ABAM_AUBN_0503201901_PA10HOME06,E,E1,F,F2,0,2
ABAM_AUBN_0503201901_PA10HOME07,F,F2,C,C2,2,2
