"","boStates","ERxBO"
"1","A0",0.60122372971535
"2","A1",0.31733746130031
"3","A2",0.117848410757946
"4","B0",1.03432282003711
"5","B1",0.663006756756757
"6","B2",0.26865671641791
"7","C0",1.33993399339934
"8","C1",0.81326352530541
"9","C2",0.341530054644809
"10","D0",1.82978723404255
"11","D1",0.953947368421053
"12","D2",0.379194630872483
"13","E0",1.83050847457627
"14","E1",1.18679245283019
"15","E2",0.498338870431894
"16","F0",1.55208333333333
"17","F1",1.30927835051546
"18","F2",0.571929824561404
"19","G0",2.12345679012346
"20","G1",1.52212389380531
"21","G2",0.665254237288136
"22","H0",2.61111111111111
"23","H1",1.74747474747475
"24","H2",0.847161572052402
