"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
54,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA12HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
55,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA12HOME04",1,2,NA,NA,NA,"A","A2",2,"Zabowski",NA,NA,"B","B2",0,0
56,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA12HOME05",1,2,"Zabowski",NA,NA,"B","B2",3,"Zabowski",NA,NA,"B","B3",0,0
57,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA13AWAY01",1,0,NA,NA,NA,"A","A0",0,"Gilbert",NA,NA,"B","B0",0,2
58,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA13AWAY02",2,0,"Gilbert",NA,NA,"B","B0",0,"Mangum",NA,"Gilbert","F","F0",0,2
59,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA13AWAY03",3,0,"Mangum",NA,"Gilbert","F","F0",0,"Westburg","Mangum",NA,"E","E0",1,2
60,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA13AWAY04",4,0,"Westburg","Mangum",NA,"E","E0",0,NA,NA,"Westburg","D","D0",1,1
61,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA13AWAY06",1,0,NA,NA,"Westburg","D","D0",1,NA,NA,"Westburg","D","D1",0,0
62,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA13AWAY07",1,1,NA,NA,"Westburg","D","D1",2,NA,NA,"Westburg","D","D2",0,0
63,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA13AWAY08",1,2,NA,NA,"Westburg","D","D2",3,NA,NA,"Westburg","D","D3",0,0
64,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA14HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
65,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA14HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
66,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA14HOME04",1,2,NA,NA,NA,"A","A2",2,NA,"Servideo",NA,"C","C2",0,0
67,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA14HOME05",1,2,NA,"Servideo",NA,"C","C2",3,NA,"Servideo",NA,"C","C3",0,0
68,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA15AWAY02",1,0,NA,NA,NA,"A","A0",0,"Skelton",NA,NA,"B","B0",0,1
69,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA15AWAY03",2,0,"Skelton",NA,NA,"B","B0",1,"Hatcher",NA,NA,"B","B1",0,1
70,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA15AWAY04",1,1,"Hatcher",NA,NA,"B","B1",1,NA,"Hatcher",NA,"C","C1",0,1
71,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA15AWAY05",1,1,NA,"Hatcher",NA,"C","C1",1,NA,NA,"Hatcher","D","D1",0,1
72,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA15AWAY06",1,1,NA,NA,"Hatcher","D","D1",1,"Gilbert",NA,"Hatcher","F","F1",0,1
73,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA15AWAY07",2,1,"Gilbert",NA,"Hatcher","F","F1",2,"Gilbert",NA,NA,"B","B2",1,1
74,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA15AWAY08",1,2,"Gilbert",NA,NA,"B","B2",3,"Gilbert",NA,NA,"B","B3",0,0
75,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA16HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
76,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA16HOME03",1,1,NA,NA,NA,"A","A1",1,"Keenan",NA,NA,"B","B1",0,0
