Sequence,GameID,PlateAppID,NumComponents,startOuts,startOnFirst,startOnSecond,startOnThird,startBS,startBOS,endOuts,endOnFirst,endOnSecond,endOnThird,endBS,endBOS,RPrime,R
46,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY06,3,1,Hill,NA,Schultz,F,F1,1,Curtis,Hill,NA,E,E1,1,2
47,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY07,3,1,Curtis,Hill,NA,E,E1,1,Daniel,Curtis,Hill,H,H1,0,1
48,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY08,1,1,Daniel,Curtis,Hill,H,H1,2,Daniel,Curtis,Hill,H,H2,0,1
49,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY09,3,2,Daniel,Curtis,Hill,H,H2,2,NA,Daniel,Curtis,G,G2,1,1
50,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY10,1,2,NA,Daniel,Curtis,G,G2,3,NA,Daniel,Curtis,G,G3,0,0
51,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME02,1,0,NA,NA,NA,A,A0,0,Beloso,NA,NA,B,B0,0,5
52,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME03,2,0,Beloso,NA,NA,B,B0,0,Digiacomo,Beloso,NA,E,E0,0,5
53,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME04,3,0,Digiacomo,Beloso,NA,E,E0,1,NA,Digiacomo,Beloso,G,G1,0,5
54,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME06,1,1,NA,Digiacomo,Beloso,G,G1,1,Hughes,Digiacomo,Beloso,H,H1,0,5
55,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME07,4,1,Hughes,Digiacomo,Beloso,H,H1,1,Smith,Hughes,Digiacomo,H,H1,1,5
56,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME08,3,1,Smith,Hughes,Digiacomo,H,H1,1,NA,Smith,Hughes,G,G1,1,4
57,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME09,3,1,NA,Smith,Hughes,G,G1,1,NA,NA,NA,A,A1,3,3
58,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME10,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
59,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME11,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
60,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA09AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
61,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA09AWAY02,2,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
62,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA09AWAY03,1,2,NA,NA,NA,A,A2,2,Kessler,NA,NA,B,B2,0,0
63,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA09AWAY04,2,2,Kessler,NA,NA,B,B2,2,NA,Schultz,Kessler,G,G2,0,0
64,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA09AWAY05,1,2,NA,Schultz,Kessler,G,G2,3,NA,Schultz,Kessler,G,G3,0,0
65,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA10HOME03,1,0,NA,NA,NA,A,A0,0,Cabrera,NA,NA,B,B0,0,0
66,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA10HOME04,1,0,Cabrera,NA,NA,B,B0,1,Cabrera,NA,NA,B,B1,0,0
67,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA10HOME05,1,1,Cabrera,NA,NA,B,B1,2,Cabrera,NA,NA,B,B2,0,0
68,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA10HOME06,2,2,Cabrera,NA,NA,B,B2,2,Mathis,NA,Cabrera,F,F2,0,0
69,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA10HOME07,1,2,Mathis,NA,Cabrera,F,F2,3,Mathis,NA,Cabrera,F,F3,0,0
70,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA11AWAY03,1,0,NA,NA,NA,A,A0,0,Curtis,NA,NA,B,B0,0,0
71,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA11AWAY04,1,0,Curtis,NA,NA,B,B0,1,Curtis,NA,NA,B,B1,0,0
72,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA11AWAY05,1,1,Curtis,NA,NA,B,B1,2,Curtis,NA,NA,B,B2,0,0
73,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA11AWAY06,1,2,Curtis,NA,NA,B,B2,3,Curtis,NA,NA,B,B3,0,0
74,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME01,1,0,NA,NA,NA,A,A0,0,Smith,NA,NA,B,B0,0,2
75,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME02,2,0,Smith,NA,NA,B,B0,0,NA,Watson,NA,C,C0,1,2
76,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME03,1,0,NA,Watson,NA,C,C0,0,NA,NA,Watson,D,D0,0,1
77,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME04,1,0,NA,NA,Watson,D,D0,1,NA,NA,Watson,D,D1,0,1
78,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME06,2,1,NA,NA,Watson,D,D1,2,NA,NA,NA,A,A2,1,1
79,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME07,1,2,NA,NA,NA,A,A2,2,Cabrera,NA,NA,B,B2,0,0
