PlayerID,ID,GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
Ju_Ward00_AUBN_01,64,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA12HOME03,home,Ward,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ke_Holcom_ABAM_18,65,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA13AWAY02,away,Holcombe,8,out,1,0,-1,0,0,1,NA,NA,0,0,0,0,0,0
Ma_Scheff_AUBN_06,66,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA14HOME03,home,Scheffler,5,out,1,0,-1,0,0,1,c,2b,0,0,0,0,0,0
Mo_Mccull_ABAM_08,67,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA15AWAY03,away,Mccullough,3,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0
Ry_Bliss0_AUBN_09,68,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA16HOME04,home,Bliss,2,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Br_Auerba_ABAM_07,69,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY04,away,Auerbach,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Mo_Mccull_ABAM_08,70,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY05,away,Mccullough,3,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Br_Auerba_ABAM_07,71,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY05,away,Auerbach,1,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Ty_Gentry_ABAM_28,72,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY06,away,Gentry,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Mo_Mccull_ABAM_08,73,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY06,away,Mccullough,3,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Br_Auerba_ABAM_07,74,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY06,away,Auerbach,1,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
Ju_Ward00_AUBN_01,75,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA02HOME02,home,Ward,1,out,1,0,-1,0,0,1,NA,NA,0,0,0,0,0,0
Ty_Ras000_ABAM_05,76,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY02,away,Ras,8,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Ko_Morris_ABAM_50,77,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY03,away,Morris,9,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ty_Ras000_ABAM_05,78,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY03,away,Ras,8,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
Mo_Mccull_ABAM_08,79,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY05,away,Mccullough,3,out,0,0,0,0,0,1,1b,p,0,0,0,0,0,0
Br_Auerba_ABAM_07,80,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY05,away,Auerbach,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ko_Morris_ABAM_50,81,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY05,away,Morris,9,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Co_Davis0_AUBN_24,82,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA04HOME02,home,Davis,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ma_Scheff_AUBN_06,83,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA04HOME04,home,Scheffler,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Co_Davis0_AUBN_24,84,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA04HOME04,home,Davis,4,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Ju_Ward00_AUBN_01,85,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA06HOME02,home,Ward,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
Wi_Hollan_AUBN_17,86,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA06HOME02,home,Holland,9,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Ju_Ward00_AUBN_01,87,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA06HOME03,home,Ward,1,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Ty_Ras000_ABAM_05,88,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA07AWAY02,away,Ras,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
Ko_Morris_ABAM_50,89,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA07AWAY04,away,Morris,9,out,1,0,-1,0,0,1,NA,NA,0,0,0,0,0,0
Ty_Ras000_ABAM_05,90,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA07AWAY04,away,Ras,8,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
TJ_Reeves_ABAM_22,91,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA07AWAY05,away,Reeves,2,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
Mo_Mccull_ABAM_08,92,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA09AWAY02,away,Mccullough,3,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
Ty_Gentry_ABAM_28,93,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA09AWAY04,away,Gentry,4,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
Mo_Mccull_ABAM_08,94,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA09AWAY04,away,Mccullough,3,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
Dr_Willia_ABAM_55,95,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA09AWAY05,away,Williamson,5,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Ty_Gentry_ABAM_28,96,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA09AWAY05,away,Gentry,4,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
