"","PlayerID","ID","GameID","PlateAppID","HomeAway","RunnerName","Hole","Action","StartBase","EndBase","BasesAdded","SB","SBA","OutsAdded","Fielder1","Fielder2","RunsAdded","PO","POA","WP","PB","AOE"
"6230","Ty_Duvall_VAND_20",233016244,"VAND_ABAM_0419201901","VAND_ABAM_0419201901_PA11AWAY06","away","Duvall",8,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"6246","JJ_Bleday_VAND_51",233016260,"VAND_ABAM_0420201901","VAND_ABAM_0420201901_PA07AWAY07","away","Bleday",2,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"6247","Au_Martin_VAND_16",233016261,"VAND_ABAM_0420201901","VAND_ABAM_0420201901_PA07AWAY07","away","Martin",1,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,1
"5932","Ry_Johnso_KENT_28",233016421,"VAND_KENT_0516201901","VAND_KENT_0516201901_PA14HOME10","home","Johnson",1,"out",1,0,-1,0,0,1,"lf","3b",0,0,0,0,0,0
"5933","Al_Rodrig_KENT_19",233016422,"VAND_KENT_0516201901","VAND_KENT_0516201901_PA14HOME10","home","Rodriguez",9,"scored",1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
"5944","Et_Paul00_VAND_10",233016433,"VAND_KENT_0516201901","VAND_KENT_0516201901_PA17AWAY10","away","Paul",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"5945","JJ_Bleday_VAND_51",233016434,"VAND_KENT_0516201901","VAND_KENT_0516201901_PA17AWAY10","away","Bleday",2,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"6089","Ja_Olson0_SCAR_07",233016578,"VAND_SCAR_0503201901","VAND_SCAR_0503201901_PA16HOME10","home","Olson",5,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"6090","Ja_Englis_SCAR_08",233016579,"VAND_SCAR_0503201901","VAND_SCAR_0503201901_PA16HOME10","home","English",3,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"6103","Et_Paul00_VAND_10",233016592,"VAND_SCAR_0505201901","VAND_SCAR_0505201901_PA05AWAY06","away","Paul",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"6104","JJ_Bleday_VAND_51",233016593,"VAND_SCAR_0505201901","VAND_SCAR_0505201901_PA05AWAY06","away","Bleday",2,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"6136","Et_Paul00_VAND_10",233016625,"VAND_SCAR_0505201902","VAND_SCAR_0505201902_PA03AWAY09","away","Paul",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"6137","JJ_Bleday_VAND_51",233016626,"VAND_SCAR_0505201902","VAND_SCAR_0505201902_PA03AWAY09","away","Bleday",2,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"6211","Hu_Colema_TXAM_10",233016740,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA08HOME06","home","Coleman",7,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"6212","Ty_Colema_TXAM_01",233016741,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA08HOME06","home","Coleman",6,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,1
