,PlayerID,ID,GameID,PlateAppID,HomeAway,BatterName,BatterHole,CountBalls,CountStrikes,pitchBalls,pitchFouls,pitchKSwing,pitchKLook,pitchBIPs,Pitches,BIP,H,Bases,Singles,Doubles,Triples,HR,HitLocation,HitQuality,HitType,INFH,FO,FOLocation,FOQuality,FOType,DP,DPType,Reach,RBOE,FC,SAC,SF,BB,IBB,UBB,SO,KSwing,KLook,UCTS,SOReach,HBP,TrueOutcome
1665,Hu_Watson_TXAM_04,1876,ARKS_TXAM_0516201901,ARKS_TXAM_0516201901_PA16HOME07,home,Watson,6,2,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1666,Za_Watson_LSTU_09,1876,ARKS_TXAM_0516201901,ARKS_TXAM_0516201901_PA16HOME07,home,Watson,6,2,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1667,Ky_Watson_OMSS_09,1876,ARKS_TXAM_0516201901,ARKS_TXAM_0516201901_PA16HOME07,home,Watson,6,2,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1668,Ry_Watson_AUBN_37,1876,ARKS_TXAM_0516201901,ARKS_TXAM_0516201901_PA16HOME07,home,Watson,6,2,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3515,Gr_Warner_AUBN_26,3123,AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA17AWAY05,away,Warner,4,2,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3516,De_Warner_AUBN_03,3123,AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA17AWAY05,away,Warner,4,2,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
4420,Ki_Mcmull_FLOR_52,3420,FLOR_GEOR_0505201901,FLOR_GEOR_0505201901_PA13AWAY03,away,Mcmullen,5,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 3b,soft,ground ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4421,Hu_Mcmull_FLOR_25,3420,FLOR_GEOR_0505201901,FLOR_GEOR_0505201901_PA13AWAY03,away,Mcmullen,5,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 3b,soft,ground ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3085,Br_Mcconn_FLOR_13,4112,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA01AWAY01,away,Mcconnell,1,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to lf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4435,Br_Mcconn_FLOR_13,4200,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA01AWAY01,away,Mcconnell,1,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to lf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3086,Co_Acton0_FLOR_22,4113,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA01AWAY02,away,Acton,2,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,0,1,0,0,0,1
