PlayerID,ID,GameID,PlateAppID,HomeAway,BatterName,BatterHole,CountBalls,CountStrikes,pitchBalls,pitchFouls,pitchKSwing,pitchKLook,pitchBIPs,Pitches,BIP,H,Bases,Singles,Doubles,Triples,HR,HitLocation,HitQuality,HitType,INFH,FO,FOLocation,FOQuality,FOType,DP,DPType,Reach,RBOE,FC,SAC,SF,BB,IBB,UBB,SO,KSwing,KLook,UCTS,SOReach,HBP,TrueOutcome
Ra_Woley0_AUBN_04,89,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME07,home,Woley,6,1,2,1,2,0,1,1,5,1,1,2,0,1,0,0,left center,hard,line drive,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St_Willia_AUBN_41,90,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME08,home,Williams,7,1,1,1,0,0,1,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 2b,soft,ground ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty_Gentry_ABAM_28,91,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY01,away,Gentry,4,2,1,2,0,0,1,1,4,1,1,1,1,0,0,0,right field,hard,fly ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr_Willia_ABAM_55,92,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY02,away,Williamson,5,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,1,to cf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jo_Breaux_ABAM_04,93,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY03,away,Breaux,6,1,1,1,0,0,1,0,3,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ko_Robins_ABAM_24,94,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY04,away,Robinson,7,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,1,to lf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ke_Holcom_ABAM_18,95,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY05,away,Holcombe,8,3,2,4,1,1,0,0,6,0,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Ko_Morris_ABAM_50,96,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY06,away,Morris,9,1,2,1,1,0,1,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,1,to cf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ka_Howell_AUBN_16,97,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA04HOME02,home,Howell,8,1,1,1,1,0,0,1,3,1,1,2,0,1,0,0,rf line,hard,ground ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wi_Hollan_AUBN_17,98,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA04HOME03,home,Holland,9,3,2,3,0,0,3,0,6,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Ju_Ward00_AUBN_01,99,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA04HOME04,home,Ward,1,1,2,1,1,1,0,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,1,to cf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ry_Bliss0_AUBN_09,100,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA04HOME05,home,Bliss,2,1,2,1,0,1,2,0,4,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Br_Auerba_ABAM_07,101,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA05AWAY01,away,Auerbach,1,1,2,1,0,1,1,1,4,1,1,1,1,0,0,0,third base,medium,ground ball,1,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJ_Reeves_ABAM_22,102,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA05AWAY02,away,Reeves,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to cf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mo_Mccull_ABAM_08,103,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA05AWAY03,away,Mccullough,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,NA,NA,0,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed_Julien_AUBN_10,104,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA06HOME01,home,Julien,3,1,2,1,1,0,2,0,4,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Co_Davis0_AUBN_24,105,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA06HOME02,home,Davis,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to p,soft,ground ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ma_Scheff_AUBN_06,106,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA06HOME03,home,Scheffler,5,1,1,1,0,1,0,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,soft,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty_Gentry_ABAM_28,107,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY01,away,Gentry,4,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,shallow infield,soft,ground ball,1,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr_Willia_ABAM_55,108,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY03,away,Williamson,5,2,2,2,0,1,1,1,5,1,1,2,0,1,0,0,center field,hard,fly ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
