GameID,PlateAppID,SubType,PlayerOut,PlayerIn,SubbedPos
2019022601,2019022601Home0708s,def,NA,ERROR: SubUnit.get_players, ts: Z.,NA
2019022601,2019022601Home07010s,def,NA,ERROR: SubUnit.get_players, ts: A.,NA
2019022601,2019022601Home07011s,def,NA,ERROR: SubUnit.get_players, ts: Z.,NA
2019022601,2019022601Home07012s,def,NA,ERROR: SubUnit.get_players, ts: B.,NA
2019022601,2019022601Home0801s,def,NA,Weaver,lf
2019022601,2019022601Home0802s,def,Brewer,Ochsenbein,p
2019022601,2019022601Home0803s,off,Botsoe,Brewer,c
2019022601,2019022601Home0804s,def,NA,ERROR: SubUnit.get_players, ts: R.,NA
2019022601,2019022601Home0806s,def,NA,ERROR: SubUnit.get_players, ts: T.,NA
2019022601,2019022601Home0808s,def,NA,ERROR: SubUnit.get_players, ts: J.,NA
