GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE,bostartOuts,bostartOnFirst,bostartOnSecond,bostartOnThird,bostartBaseState,bostartBaseOutState,boendOuts,boendOnFirst,boendOnSecond,boendOnThird,boendBaseState,boendBaseOutState
2019022202,2019022202Home0508b,home,Lovell,6,scored,1,4,3,0,0,0,NA,NA,1,0,0,0,0,0,1,Lovell,Conklin,Lovell,H,H1,1,Lovell,Hill,Lovell,H,H1
2019022202,2019022202Home05010b,home,Johnson,1,stole,0,2,2,1,1,0,NA,NA,0,0,0,0,0,0,2,Lovell,Hill,Lovell,H,H2,2,Johnson,Johnson,Lovell,H,H2
2019022202,2019022202Home05010b,home,Hill,8,stole,2,3,1,1,1,0,NA,NA,0,0,0,0,0,0,2,Lovell,Hill,Lovell,H,H2,2,Johnson,Johnson,Hill,H,H2
2019022202,2019022202Home05011b,home,Johnson,1,scored,1,4,3,0,0,0,NA,NA,1,0,0,0,0,0,2,Johnson,Johnson,Hill,H,H2,2,Kerr,Johnson,Hill,H,H2
2019022202,2019022202Home05011b,home,Hill,8,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0,2,Johnson,Johnson,Hill,H,H2,2,Kerr,Johnson,Hill,H,H2
2019022202,2019022202Home05011b,home,Kerr,2,advanced,0,3,3,0,0,0,NA,NA,0,0,0,0,0,1,2,Johnson,Johnson,Hill,H,H2,2,Kerr,Johnson,Kerr,H,H2
2019022202,2019022202Home05012b,home,Kerr,2,scored,1,4,3,0,0,0,NA,NA,1,0,0,0,0,0,2,Kerr,Johnson,Kerr,H,H2,2,Howie,Johnson,Kerr,H,H2
2019022202,2019022202Home05014b,home,Blair,3,advanced,0,2,2,0,0,0,NA,NA,0,0,0,0,0,1,2,Kerr,Johnson,Kerr,H,H2,2,Howie,Blair,Kerr,H,H2
2019022202,2019022202Home0606b,home,Botsoe,5,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0,1,Botsoe,NA,NA,B,B1,1,Conklin,NA,Botsoe,F,F1
2019022202,2019022202Home07010b,home,Kerr,2,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,1,Kerr,NA,NA,B,B1,1,Bodine,Kerr,NA,E,E1
2019022202,2019022202Home07011b,home,Bodine,3,out,1,0,-1,0,0,1,NA,NA,0,0,0,0,0,0,1,Bodine,Kerr,NA,E,E1,3,Bodine,Kerr,NA,E,E3
2019022202,2019022202Home0802b,home,Lovell,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,Botsoe,NA,NA,B,B0,0,NA,Lovell,NA,C,C0
2019022202,2019022202Home0802b,home,Botsoe,5,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0,0,Botsoe,NA,NA,B,B0,0,NA,Lovell,Botsoe,G,G0
2019022202,2019022202Home0803b,home,Botsoe,5,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0,0,NA,Lovell,Botsoe,G,G0,1,NA,Lovell,Botsoe,G,G1
2019022202,2019022202Home0804b,home,Lovell,6,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0,1,NA,Lovell,Botsoe,G,G1,1,Hill,Lovell,Lovell,H,H1
2019022202,2019022202Home0805b,home,Hill,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,1,Hill,Lovell,Lovell,H,H1,1,Thomason,Hill,Lovell,H,H1
2019022202,2019022202Home0806b,home,Thomason,9,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0,1,Thomason,Hill,Lovell,H,H1,1,Thomason,ERROR: name not in batting order, ts: LUDWICK, C. doubled to left center, 2 RBI (1-2 KBKF);,Thomason,H,H1
2019022202,2019022202Home0806b,home,Hill,8,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0,1,Thomason,Hill,Lovell,H,H1,1,Thomason,ERROR: name not in batting order, ts: LUDWICK, C. doubled to left center, 2 RBI (1-2 KBKF);,Thomason,H,H1
