GameID,PlateAppID,HomeAway,BatterName,BatterHole,CountBalls,CountStrikes,pitchBalls,pitchFouls,pitchKSwing,pitchKLook,pitchBIPs,Pitches,BIP,H,Bases,Singles,Doubles,Triples,HR,HitLocation,HitQuality,HitType,INFH,FO,FOLocation,FOQuality,FOType,DP,DPType,Reach,RBOE,FC,SAC,SF,BB,IBB,UBB,SO,KSwing,KLook,UCTS,SOReach,HBP,TrueOutcome,BasesAdded,RunsAdded,OutsAdded,bostartOuts,bostartOnFirst,bostartOnSecond,bostartOnThird,bostartBaseState,bostartBaseOutState,boendOuts,boendOnFirst,boendOnSecond,boendOnThird,boendBaseState,boendBaseOutState
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA01AWAY01,away,Ezell,1,,,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,False,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,A,A0,0,Ezell,NA,NA,B,B0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA01AWAY02,away,Martin,2,,,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to cf,medium,fly ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Ezell,NA,NA,B,B0,1,Ezell,NA,NA,B,B1
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA01AWAY04,away,Goodheart,3,,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,False,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,NA,Ezell,NA,C,C1,2,NA,Ezell,NA,C,C2
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA01AWAY05,away,Fletcher,4,,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,False,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,NA,Ezell,NA,C,C2,3,NA,Ezell,NA,C,C3
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA02HOME01,home,Johnson,1,,,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,False,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,A,A0,0,Johnson,NA,NA,B,B0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA02HOME02,home,Shinn,2,,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,False,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,Johnson,NA,NA,B,B0,1,Johnson,NA,NA,B,B1
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA02HOME03,home,Curtis,3,,,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to c,foul,fly ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Johnson,NA,NA,B,B1,2,Johnson,NA,NA,B,B2
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA03AWAY01,away,Kjerstad,5,,,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,right field,hard,fly ball,0,0,NA,NA,NA,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,A,A0,0,Kjerstad,NA,NA,B,B0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA03AWAY02,away,Kenley,6,,,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,center field,hard,fly ball,0,0,NA,NA,NA,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Kjerstad,NA,NA,B,B0,0,Kenley,NA,NA,B,B0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA03AWAY03,away,Nesbit,7,,,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,third base,medium,ground ball,1,0,NA,NA,NA,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Kenley,Kjerstad,NA,E,E0,0,Nesbit,Kjerstad,NA,E,E0
